product_id,mpn,brand,manufacturer,product_type,size,quantity,material
PROD-0321,PP-10BL,nan,Premier Metals,nan,nan,nan,
PROD-0322,PP-12BL,nan,Premier Metals,nan,nan,nan,
PROD-0323,PP-8CH,nan,Premier Metals,Electrical Wire & Cable,nan,nan,
PROD-0324,PP-10CH,nan,Premier Metals,nan,nan,nan,
PROD-0325,PP-12CH,nan,Premier Metals,nan,nan,nan,
PROD-0326,PP-8WH,nan,Premier Metals,nan,nan,nan,
PROD-0327,PP-10WH,nan,Premier Metals,nan,nan,nan,
PROD-0328,1504345,DSI Westbury,Palmer Donavin Mfg Company,nan,nan,nan,
PROD-0329,2733,DSI Westbury,Palmer Donavin Mfg Company,nan,3 ft,nan,
PROD-0330,7547,nan,nan,Heated Workwear & Gear,nan,nan,
PROD-0331,8912220,nan,Boise Cascade Building Materials,"Building, Decking & Railing Materials",7-1/4 in x 12 in,nan,
PROD-0332,8904015,nan,Boise Cascade Building Materials,"Building, Decking & Railing Materials",4 ft,nan,
PROD-0333,25796,nan,U S Lumber,Lumber & Structural Panels,6 in,nan,
PROD-0334,40503,nan,U S Lumber,PVC & Composite Decking,3/8 in,nan,
PROD-0335,25825,nan,U S Lumber,Lumber & Building Supplies,3/8 in,nan,
PROD-0336,25822,nan,U S Lumber,Lumber & Structural Panels,3/8 in,nan,
PROD-0337,543650101,TREX,Boise Cascade Building Materials,"Building, Decking & Railing Materials",nan,nan,
PROD-0338,543650010,TREX,Boise Cascade Building Materials,"Building, Decking & Railing Materials",nan,nan,
PROD-0339,543650048,TREX,Boise Cascade Building Materials,Railing & Fence Kits,nan,nan,
PROD-0340,1506969,nan,nan,nan,1-1/2 in,nan,
PROD-0341,1514681,nan,nan,nan,1 in,nan,
PROD-0342,1514726,nan,nan,nan,2 in,nan,
PROD-0343,1728ABL,DSI Westbury,Palmer Donavin Mfg Company,nan,nan,nan,
PROD-0344,402-R,nan,MillerTech Energy Solutions,Batteries & Chargers,nan,nan,
PROD-0345,SL1672,nan,nan,nan,nan,nan,
PROD-0346,BM-DW20-YLW-6,DEWALT,Metalmark Industrial Inc,Batteries & Chargers,nan,6.0,
PROD-0347,BHA1-UPC,Southwire,Southwire/g Turner,Electrical Boxes & Wiring,nan,nan,
PROD-0348,G1941-UPC,Southwire,Southwire/g Turner,Electrical Boxes & Wiring,4 in,nan,
PROD-0349,G1950-UPC,Southwire,Southwire/g Turner,Electrical Boxes & Covers,nan,nan,
PROD-0350,A410RCAR,Carlon,Thomas & Betts,Electrical Boxes & Covers,nan,nan,
PROD-0351,G1951-UPC,Southwire,Southwire/g Turner,Electrical Boxes & Covers,nan,nan,
PROD-0352,52C3-5/8-UPC,Southwire,Southwire/g Turner,Electrical Boxes & Covers,nan,nan,
PROD-0353,52C14-5/8-UPC,Southwire,Southwire/g Turner,Electrical Boxes & Covers,nan,nan,
PROD-0354,52C3-UPC,Southwire,Southwire/g Turner,Electrical Boxes & Covers,nan,nan,
PROD-0355,54151-F-UPC,Southwire,Southwire/g Turner,Electrical Boxes & Covers,nan,nan,
PROD-0356,54151-HUR-UPC,Southwire,Southwire/g Turner,Electrical Boxes & Covers,nan,nan,
PROD-0357,54151-JR-UPC,Southwire,Southwire/g Turner,Electrical Boxes & Covers,nan,nan,
PROD-0358,54171-R-UPC,Southwire,Southwire/g Turner,Electrical Boxes & Covers,nan,nan,
PROD-0359,52151-S-UPC,Southwire,Southwire/g Turner,Electrical Boxes & Wiring,nan,nan,
PROD-0360,72171-3/4-1W-UPC,Southwire,Southwire/g Turner,Electrical Boxes & Covers,4-1/2 in x 4-1/2 in,nan,
PROD-0361,5522-5EV,nan,Cooper Wiring Devices,Electrical Boxes & Wiring,nan,nan,
PROD-0362,AYCL-153PH-LA,nan,Fenton Bros Electric Inc,Electrical Wire & Cable,nan,nan,
PROD-0363,AYCL-153PH-WH,nan,Fenton Bros Electric Inc,Electrical Wire & Cable,nan,nan,
PROD-0364,D23LP-R02-1RW,Leviton,Leviton Mfg Co,nan,nan,nan,
PROD-0365,TNOCD002,Prime,Prime Wire & Cable,Electrical Wire & Cable,nan,nan,
PROD-0366,TNDHD002,Prime,Prime Wire & Cable,Electrical Wire & Cable,nan,nan,
PROD-0367,TNIDP12,Prime,Prime Wire & Cable,Electrical Wire & Cable,nan,nan,
PROD-0368,TNIW24,Prime,Prime Wire & Cable,Electrical Wire & Cable,nan,nan,
PROD-0369,65-1222,Satco,Satco Prod Inc,Light Bulbs,nan,nan,
PROD-0370,65-1224,Satco,Satco Prod Inc,Lighting & Electrical Supplies,nan,nan,
PROD-0371,45297BK,nan,Kichler Lighting,Wall Sconces & Bath Lights,nan,nan,
PROD-0372,45573BK,nan,Kichler Lighting,Wall Sconces & Bath Lights,nan,nan,
PROD-0373,37418A,nan,Kichler Lighting,Wall Sconces & Bath Lights,nan,nan,
PROD-0374,37423A,nan,Kichler Lighting,Wall Sconces & Bath Lights,nan,nan,
PROD-0375,45496BKCLR,nan,Kichler Lighting,Wall Sconces & Bath Lights,nan,nan,
PROD-0376,45973BK,nan,Kichler Lighting,Wall Sconces & Bath Lights,nan,nan,
PROD-0377,55155BK,nan,Kichler Lighting,Wall Sconces & Bath Lights,nan,nan,
PROD-0378,55157CPZ,nan,Kichler Lighting,Wall Sconces & Bath Lights,nan,nan,
PROD-0379,55184BK,nan,Kichler Lighting,Wall Sconces & Bath Lights,nan,nan,
PROD-0380,55185BK,nan,Kichler Lighting,Wall Sconces & Bath Lights,nan,nan,
PROD-0381,55186CH,nan,Kichler Lighting,Wall Sconces & Bath Lights,nan,nan,
PROD-0382,55210NI,nan,Kichler Lighting,Wall Sconces & Bath Lights,nan,nan,
PROD-0383,55211BK,nan,Kichler Lighting,Wall Sconces & Bath Lights,nan,nan,
PROD-0384,55211NI,nan,Kichler Lighting,Wall Sconces & Bath Lights,nan,nan,
PROD-0385,55212NI,nan,Kichler Lighting,Wall Sconces & Bath Lights,nan,nan,
PROD-0386,55226BKLFU,nan,Kichler Lighting,Wall Sconces & Bath Lights,nan,nan,
PROD-0387,55239CPZLED,nan,Kichler Lighting,Wall Sconces & Bath Lights,nan,nan,
PROD-0388,44072DBK,nan,Kichler Lighting,Lighting & Electrical Supplies,nan,nan,
PROD-0389,44073NI,nan,Kichler Lighting,Lighting & Electrical Supplies,nan,nan,
PROD-0390,52033BK,nan,Kichler Lighting,Lighting & Electrical Supplies,nan,nan,
